,Unnamed: 0,Unnamed: 0.1,ID,Response,Grade,Question
0,0,0,5ac95126c93bab762f619ae6d9e0457a3ae69e32d351c6f444adf2fed30efe3915f7f9845b1ec549d2f270b573f92967241b205877e7a669570b3a332b14617a,"There is a possibility that the height of the BST has become too large from all the inserts that its experienced over the years. Even though searching or making changes to a binary search tree is on average a lot faster than doing the same on other data structures, when the height of a tree becomes too large it can become longer to traverse and will give us something closer to linear time complexity. Although the tree becoming larger is inevitable, we may make traversing it easier by converting it into an AVL Tree. This change will cause the tree to become less one-sided by changing the position of nodes, however, the order will remain intact and we will gain the lower height and higher speeds we are looking for.",3.0,0
1,1,1,502fef2d6fe9da5464e8c9384e9e17ec9e027605731f937c9c268939dfba42b423927e1ae32d93e126c685489559ff30ae83edb07a6c11513af9f28236779e80,the memory allocated is full.,0.0,0
2,2,2,90a8f27cfb71d61b9c73a7a8ab33730e3ebc85bfa97c54d9b613ce87b305b9e1aa432bcfbae1c2c5d2035b82671180a8d7f60a46fa0262145d5fd6b791318ce7,"One possible problem is that the system is not deleting students that graduate/leave, and hence the tree keeps growing and growing with each new student, cause a noticeable slowdown in search times due to the increase in size of the tree, as the newer students will continuously be added lower and lower in the tree, requiring greater traversal of the tree through nodes of irrelevant/old nodes. A simple fix would be to update the system to automatically delete any students that leave or graduate, keeping the tree at a somewhat consistent size throughout 10 years. ",0.0,0
3,3,3,158bc4a6a09d1d1f60a3174579dd63b17d40ca380bf126e52a49b005e6d33ba7bdbb0d4d003014825659fe0bdbb49f2fd5e45256e7b5b723af7ad889e792a934,"the system in 10 years will be slow because the number the students that have been in wits has increased a lot over that 10 years. what is causing the system to be slow is that it wont be doing amount of linear work
in order to improve the system an organised data tree ",0.0,0
4,4,4,3068685c76e4b2c329c64b4a981abf59ea0591abc5a7b11e62ce43c420b142b81f90f5e9d316d436b64235d5ad493fb04d7af76ae8a7eac84bd371103293e146,"The BST is becoming degenerate, making the lookup time complexity closer to O(n) instead of O(log n). This could be corrected by using an AVL tree instead. This will balance the tree as it grows to keep the tree's height as small as possible, therefore increasing the lookup speeds.",4.0,0
5,5,5,c1f6abfd4fc5318b969d8b42d7f10e1364425c616a8b69c8f8594b69d2c7a7743a83790314faf11cc3b382f3287fb00f531687f09a9146a00ce2dbe39062eeff,The issue is that the system still holds the records for students who have graduated meaning that there are student numbers in the BST that are not getting searched. These students not getting search are at the top of the BST and the ones getting searched are at the bottom. To fix this issue the university should delete student numbers from the BST that have graduated.,0.0,0
6,6,6,afeeaae30229bbf9032ee9948e95a3a98860a874d1b1d0d67ee088b120bc22e9fb34f7eeb7b1df4260a0f1a548b9e0b11d627eaa2a17433f88a21e97dee9550e,yes,0.0,0
7,7,7,4bccbfcaa9439271fb4e221590e1fd6768f9a6170a62193e2aa38f727ca7e838985ca00984f7b4a782149961c288a265aac8163c38e74ff4f6279a0f9baaec5e,"A binary search tree simply means that the value(right)>value(parent)>value(left).  This means that while the access time is at best O(log(n)), as the tree gets more and more unbalanced the access time tends to the worst case scenario O(n) ie. linear time.  This is what is happening with the student database, as every single year of students is going to have a larger number than the ones from the year before it, so the tree is becoming more and more right heavy as the years pass. As more and more students get added, the time is increasing from something logarithmic to something linear, which is far less efficient.

A solution would be to switch data types entirely for the student database, as BSTs by design are going to do this, since the numbers are not random - they are increasing every year.

An AVL tree would be ideal, as the worst case scenario would no longer be possible. If the tree is becoming too right heavy, it will rotate till the issue is fixed. This means that access time will be O(log(n)) and no longer tend to O(n) as was happening before.",5.0,0
8,8,8,0210a9d3772d4f5814d5d585f47b6503d720f89ae8ca72b5fb7136f3da85dccbdba73ac11df998e73774b6321c99446733c7c479dc009a4e0dc92678413ef102,"It may be that the input size increased made the logarithm became slower . To fix it we need to implement the constant algorithm ,since it does not depend on the input size .",0.0,0
9,9,9,6a7a49da689922560451287b4e285dafdb4a0bfd283c9d3d5a6941f50de9e8434c4baab959d6ac95be4270bc3e3b12632437fec1cc1ffa0e88747c0a4bcc97e6,"The system may have slowed down as the increase in students leads to an increase in student records, many of the numbers may be allocated at the lower points or the leaves of the BST's which would mean that the data will be accessed in linear time instead of logarithmic time, and this causes the system to get slower as more students join Wits. Using AVL trees could help solve this problem as it can help transform BST's into a more balance and a more easily accessible BST. As its easier to access data with a logarithmic height instead of a linear one. AVL trees help ensure that the BST has a logarithmic height.",4.0,0
10,10,10,a69deeb1d09b2c2f2efacf2adabcd40f91cbdaa6d8a94b958b4f80eb19e04ba4658d33a6b07d41e2293e3dc7c648d0c9d4ec03fdc6df749e7a11d1c6ae138068,this is a degenrate tree (which happens over 10 years) and makes the bst tree slow. A correction would be to use an avl tree because it makes the tree undegenerate and fast in terms of searching time.,3.0,0
11,11,11,a130bfe9418c91d178f590031c0c9939b5fca90db77973d7f6178ded40014a7172640da790c28b96fd7fb6c80913844b332b017840744966e0e7f4da01d28945,"The problem is probably that as the years pass, the students getting added to the tree are largely people born in later years than students already in the system. Since ID numbers start with one's year of birth, this means that the vast majority of the students are being added in one subtree - to the right of the students born in the very early 2000s and to the left of the students born in the twentieth century. As the years go by, this issue compounds as additions are being weighted further and further within this subtree and predominantly on its right. The far right side of this subtree of the binary search tree starts to make up most of the tree, making it extremely badly structured for searches. The tree approaches linear height as time passes, making the search time approach O(n).

To correct this issue we should apply the AVL condition that the heights of any node's left and right subtrees can differ by at most one. Thus the height will always be logarithmic, making the search time O(log(n)). The necessity of doing rotations constantly when adding students to the system will increase the time needed to add them, however, not by that much and given how much it will improve the search time, it is worth it.",5.0,0
12,12,12,fa243626fbe26ef57e9cb51b64e34cda34860d25833be057b8aacb2413654723774f7590965ed807a0415dd0e925f4717e86fc15d11f310737f703eab68fbabd,"The worst case height of a BST is h=n-1,where n is the number of nodes but ID numbers in this case and over 10 years, the number of students is increasing meaning an increase in the number of nodes, also increasing the height of the tree. An increase in height leads to a decreased speed in the system. we can correct this by decreasing the height of the tree by making it a perfect tree. Decreasing the height will result in a best case height of BST; h = log(n+1)-1, and hence speed increases again.",0.0,0
13,13,13,613c2ba250835f60dd8d6152221f9e06173d3c4bcc77f7b6c456f0bb9860c2fa0917972ea9f5067f4fe1f88b30007ef0f5e48ef265e8c878004f67d405750a94,"the issue would be that as the amount of students increase so to will the amount of insertions, therefore causing the tree to be one sided and unordered. By utilising a balanced tree structure or an AVL tree structure it will help to avoid this issue as the tree is balanced and searching for the nodes will always be 0(logN)",3.0,0
14,14,14,8052ea5813981ce1b1dc18dcce8d4c10c33b769890ea3f35ecc1dc5a6465b4897efddc1a12c6d7a26b5d0da8ca3c779589f99331e5d2c411636cea22d157833a,"as the number of students increases with time, this means that there will be more students, so as the Binary search tree code will be slow.we can solve this b balancing the tree or by using AVL tree instead of BST even if it takes more space it consumes ",1.0,0
15,15,15,e9f55a461571038daf39646f8c350339a639982fda3a68a7de2c663bf3b55fcfe5c2c1470245e6cd83dc29b1d2c16e474b9b4bcd8ac2d4eb9b9e2eef6125ba6e,The system became slow as the tree is unbalanced and is known as a degenerate tree most new users have ID numbers from the 2000 on wards and these all get inserted to the left of the tree ,3.0,0
16,16,16,ee3d89b0d1151de34e3cf3043fc2b6592a400e8ce8a1d14d3b5e77f1fc57f3bb24de4a9c4426effca79ea565b502539dcf46a1f1d27d52e0d1e79029ce2f8aab,"Since a binary search tree is being used, once there are too many ID numbers added to the tree, the tree maybe become unbalanced. This is because of the fact that most new ID numbers are going to be from the 2000's onwards, beginning with 00, 01, 02 ect)  and will all get inserted on the left on the tree. As a result it would take much longer to search the tree and to insert/delete nodes. It would take longer to do this since the tree would take longer to traverse through. 

This could be corrected by rebalancing the tree and making the tree an avl tree. To do this we could rotate the subtrees recursively while maintaining the AVL properties until the tree is balanced. Once we convert the tree to an AVL tree it will remain balanced since all AVL trees must be balanced trees.",5.0,0
17,17,18,8d5ceb816f2781032ee62700b4d8e0c49eadb89db294dfede287a0eaeacf6b8016c744cd4dfe71d03f0f6caf776956147ca479b489362862217860010178b882,The number of students might have increased. The computer that Wits is using might be slower or have became slower when the time goes on.,0.0,0
18,18,19,c0046d9efb5ac101c14867d2717db3e08d6ef4577447593b970d77add7785e77e104d1c4da7ccd26febfc9dec54c612f8ab1164fc3489c3f123475dd1c711486,"the binary search tree may have been an optimal storage strategy initially, but as time passed and the volume of student records to keep track of increased and in turn the tree may have become heavily degenerate and since the worst case the search time of a bst is O(h) therefore searching for records subsequently get slower as the number of operations required to attain a particular record on a heavily degenerate or unbalanced tree increase drastically due to the obscured height

and to correct this issue and keep the system running fast and to keep accessing of records quick we can implement a balanced tree data structure to store the records, thus keeping the height of the tree log(n) and the search complexity will always be O(logn)",3.0,0
